,image,ground_truth,trocr,qwenv2.5_3B,qwenv2.5_7B,smolvlm2,siglib2
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x749AE9B6D2D0>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ",,"وَ إِذَا مَا سَأَلْتُنِي عَن مَّعْنًى لَفظَةٍ ""عَرَب"" عِندَ",,,
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x749AE01E9F10>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,,"""أَنْ تُفْهَمَ النُّصُوصُ وَإِسْتِنْبَاطُ مَعَانِيَها يُوجَدُ صَحِيحٌ تَفَقِيقٌ""",,,
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x749AE01EBF90>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,,"""يُثير فيها اللسود، وهو ما يتغافض مع اكتشاف""",,,
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x749AAE6FC590>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,,الجماعي، وكانت تصل إلى المرحلة الاشتراكية لسيطرة أكبر,,,
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x749AAE6FCB10>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,,مَا هُوَ مُنْبِذٌ فِيهِ دَرَقَاتٌ وَفَطْعَ أَحْمَدٌ سُخَاجٌ مَّرْءٌ,,,
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x749AAE6FD0D0>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,,"""إلى المدارس العامة، وهم يُكنّ في كثير من""",,,
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x749AAE6FD650>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,,"""لِلْسَّبِقِ لِقَامَةِ الْأَخْتِمَاسِ الحُرُّيِّ وَهَا الْقَدْرَةُ عَلَى امْتِصاصِ""",,,
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x749AAE6FDBD0>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,,"""القرص وتكنو جذبنا الشفاءات في انستا يليها""",,,
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x749AAE6FE190>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا",,"""من الناجية ""الجيم لجحية"" فإن باطن البالان وخذة لا""",,,
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x749AAE6FE6D0>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,,وَيُحْكِمُ تَحْدِيدٌ مَّجْمُوْعَةٌ مِنَ الْعَوْامِنِ المُفَصِّلَةَ بِهِذَا الأَدْوِعِ,,,
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x749AAE6FEC90>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,,"""تَأثَّرتُ بِمَهْدَةِ بَيْنَ إِرْمٍ، فَكَنَّتُ بِهَا، مَا فَعَلُ""",,,
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x749AAE6FF250>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,,"""تُكون فارسيه، لأَقْفَرِض مجووس، وللنجُس لا يُختَقِدْو""",,,
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x749AAE6FF6D0>,العربيه،,,"""العربية""",,,
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x749AAE6FFC10>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,,"""اللَّهُمَّ بِمَا نَصَحْتَ الْقُوْصَاتَ الْعَرَبِينَ عَلَى حَكَمٍ فِي الْبَلَدِينَ""",,,
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x749AAE7041D0>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,,"""تُحِلُّ السُّؤُودُ إِلَٰهَةً بِكُلَّ حَرَمٍ، وَفِصْلًا عَنِ ذلك""",,,
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x749AAE704790>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,,"""استعمل التصميمات الحرفية لإبراز أشكال الأبنية بدقة للحصول على نتائج مذهلة.""",,,
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x749AAE704E10>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد",,أو تلكَ صَنبُ خُصوصيَّة الموسمِ، وَفِي نهايةَ الحصاد,,,
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x749AAE7052D0>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ",,"""بِالْحُسْنِ مُؤْذِنَاتِ الْهُدَىِ وَمُؤْمِنٌ بِالْإِيمَانِ""",,,
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x749AAE705890>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,,"""الانضمام في اتحاد المغرب العربي برنامجا دون إقليمي.""",,,
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x749AAE705E50>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,,"Here's the text extracted from the image:

""هارين تحدث فيه تقاعدك نموذجياً تفصل درجة الخرازة""",,,
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x749AAE706410>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,,"""دَعْبُ نَجحِ بِمُظْلَمِ صَوْتِهِ مِنْ بَصْرِهِ وَرُؤُوفٌ مِنْ رُويَّةِ غَيْرِ طَيِّبٍ""",,,
