,image,ground_truth,qwenv2.5_3B,ground_truth_t,qwenv2.5_3B_t
0,<PIL.Image.Image image mode=RGB size=689x126 at 0x7FDB28C62990>,المفهوم العلمي للروح من المنظور الاسلام انتشار السلام بحد السيف بين الحقيق والافترا عاش بنت بي بكر رضي الله عنهما طفالنا والذكا العلماني في ضو الفكر السلامي هل تسالات ضعف التربي الروحي التدين المغشوش حذروا المهلكات فتاو وحكام,المقيم العلمي للروح من المنظور الإسلامي انتشار السلام بحد السيف بين الحقائق والاعتبار عاثث يبت بكر رضي الله عنهما طفانه وادناها العلماني في ضوء الفكر السلمي هل تسالات ضعف التربى الروحي البدين المغشوش حذروا المهمكات فتاوا وحكم,المفهوم العلمي للروح من المنظور الاسلام انتشار السلام بحد السيف بين الحقيق والافترا عاش بنت بي بكر رضي الله عنهما طفالنا والذكا العلماني في ضو الفكر السلامي هل تسالات ضعف التربي الروحي التدين المغشوش حذروا المهلكات فتاو وحكام,المقيم العلمي للروح من المنظور الإسلامي انتشار السلام بحد السيف بين الحقائق والاعتبار عاثث يبت بكر رضي الله عنهما طفانه وادناها العلماني في ضوء الفكر السلمي هل تسالات ضعف التربى الروحي البدين المغشوش حذروا المهمكات فتاوا وحكم
1,<PIL.Image.Image image mode=RGB size=689x128 at 0x7FDB28B02290>,فتاو وحكام السن والحديث قرا في كتاب سماح السلام في الدعو ل الله المفهوم العلمي لتسبيح الكانات لرب العالمين ندو بالقاهر حوار بين سر مسلم النيرات المنيرات كفال اليتيم الصبر عل البلا عمرك في يومك ثر اليمان في المجتمع هيا نمن فتاو وحكام,"'       :

""فقال وحكم السن والحديث قرأ في كتاب سماح السلم في العمل الله المتفهم العلمي لتسبيح الكائنات لرب العالمين ندو بالقائم حوار بين سر مسلم التبشيرات المثيرة كفال اليتيم الصبر على اليدا عمك في يومنك تر اليمان في المجتمع هيا تمن فتاوا وحكم""",فتاو وحكام السن والحديث قرا في كتاب سماح السلام في الدعو ل الله المفهوم العلمي لتسبيح الكانات لرب العالمين ندو بالقاهر حوار بين سر مسلم النيرات المنيرات كفال اليتيم الصبر عل البلا عمرك في يومك ثر اليمان في المجتمع هيا نمن فتاو وحكام,"'       :

""فقال وحكم السن والحديث قرأ في كتاب سماح السلم في العمل الله المتفهم العلمي لتسبيح الكائنات لرب العالمين ندو بالقائم حوار بين سر مسلم التبشيرات المثيرة كفال اليتيم الصبر على اليدا عمك في يومنك تر اليمان في المجتمع هيا تمن فتاوا وحكم"""
2,<PIL.Image.Image image mode=RGB size=691x134 at 0x7FDB2B7B2210>,فتاو وحكام الجرح والتعديل قرا في كتاب حقيق السلام لمحمد السنراوي سرار العجاز العددي ف القرن الكريم كيف تقوي ثقتك بنفسك البحث عن ثقاف الشباب المسلم ومضات من جل حيا ناجح النيرات المنيرات الثار السي للطمع كيف نقر القرن الكريم فتاو وحكام,"        :

```
فقام وحكم الحج والعديد قرأ في كتاب حقائق السلام لمحمد السراوي سرار العجز العدي في القرن الكريم كيف تقوي تقدمك بتفسير البحث عن نفاذ الشباب المسلم ومصات من جل حيا ناجح المديرات الثار السي للتمع كيف تقر القرن الكريم فقام وحكم
```",فتاو وحكام الجرح والتعديل قرا في كتاب حقيق السلام لمحمد السنراوي سرار العجاز العددي ف القرن الكريم كيف تقوي ثقتك بنفسك البحث عن ثقاف الشباب المسلم ومضات من جل حيا ناجح النيرات المنيرات الثار السي للطمع كيف نقر القرن الكريم فتاو وحكام,"        :

```
فقام وحكم الحج والعديد قرأ في كتاب حقائق السلام لمحمد السراوي سرار العجز العدي في القرن الكريم كيف تقوي تقدمك بتفسير البحث عن نفاذ الشباب المسلم ومصات من جل حيا ناجح المديرات الثار السي للتمع كيف تقر القرن الكريم فقام وحكم
```"
3,<PIL.Image.Image image mode=RGB size=691x170 at 0x7FDB285BA650>,نادي نزو يحتف بختام نشطته الصيفي نشط ثقافي متنوع تنطلق في عاصم الثقاف العربي صنعا وزير الشون الجتماعي اللبناني يحذر العرب من الهجم الشرس لتحطيم عناصر قوتهم عدد جديد من مجل الهلال مشارك تشكيلي سوري في معرض فرانكفورت افتتاح هاد ونيق لمهرجان الاسكندري السينماي كل سبت نادي نزو يحتف بختام نشطته الصيفي,"'       :

نادي نزو يحتفظ بختم نشطته الصيفي نشط تقافي متوقع تتطلق في عاصم الثقاف العربي صنعا وزيز الشون

الاجتماعي اللبناني يحذر العرب من الهجم الشرس لحطم عناصر قوتهم عدد جديد من مجال الالبال مشارك

تشكلي سوري في معرض فرانكفورت افتتاح هاد ونينق لمهرجان الاسكندري السيمنتي كل سبت نادي نزو

يحتفظ بختم نشطته الصيفي",نادي نزو يحتف بختام نشطته الصيفي نشط ثقافي متنوع تنطلق في عاصم الثقاف العربي صنعا وزير الشون الجتماعي اللبناني يحذر العرب من الهجم الشرس لتحطيم عناصر قوتهم عدد جديد من مجل الهلال مشارك تشكيلي سوري في معرض فرانكفورت افتتاح هاد ونيق لمهرجان الاسكندري السينماي كل سبت نادي نزو يحتف بختام نشطته الصيفي,"'       :

نادي نزو يحتفظ بختم نشطته الصيفي نشط تقافي متوقع تتطلق في عاصم الثقاف العربي صنعا وزيز الشون

الاجتماعي اللبناني يحذر العرب من الهجم الشرس لحطم عناصر قوتهم عدد جديد من مجال الالبال مشارك

تشكلي سوري في معرض فرانكفورت افتتاح هاد ونينق لمهرجان الاسكندري السيمنتي كل سبت نادي نزو

يحتفظ بختم نشطته الصيفي"
4,<PIL.Image.Image image mode=RGB size=689x160 at 0x7FDB20163350>,مسي شعري بالرستاق وزار التراث والثقاف تعلن عن اسما الفرق المسرحي الاهلي المشارك في مهرجان المسرح العماني الاول يقدم الدنيا حظوظ في رمضان القادم الكوميدي العراقي عامر العمري في حديث ل الوطن يحي عياش يعود من جديد من خلال الدراما السوري بيت ديكسون شاهد عل العمار التقليدي الكويتي مرايا مقاربات مسي شعري بالرستاق,"'       :

مسى شعري بالرستاق وزار التراث والثقاف تعنى عن اسما الفرق المسرحي الاهلی المشارک في مهرجان

المسرح العماني الامل يقدم الدنيا خطوط في رمضان القادم الكوميدي العراقي عامر العمري في حديث ل

الوطن يحي عياش يجود من جديد من خلال الدراما السوري يتیدكسوس شاهد على العمار التقليدي الكويتی

مرايا مقاربات مسی شعري بالرستاق",مسي شعري بالرستاق وزار التراث والثقاف تعلن عن اسما الفرق المسرحي الاهلي المشارك في مهرجان المسرح العماني الاول يقدم الدنيا حظوظ في رمضان القادم الكوميدي العراقي عامر العمري في حديث ل الوطن يحي عياش يعود من جديد من خلال الدراما السوري بيت ديكسون شاهد عل العمار التقليدي الكويتي مرايا مقاربات مسي شعري بالرستاق,"'       :

مسى شعري بالرستاق وزار التراث والثقاف تعنى عن اسما الفرق المسرحي الاهلی المشارک في مهرجان

المسرح العماني الامل يقدم الدنيا خطوط في رمضان القادم الكوميدي العراقي عامر العمري في حديث ل

الوطن يحي عياش يجود من جديد من خلال الدراما السوري يتیدكسوس شاهد على العمار التقليدي الكويتی

مرايا مقاربات مسی شعري بالرستاق"
5,<PIL.Image.Image image mode=RGB size=689x160 at 0x7FDB20163450>,احتفال راع باليوم الرياضي للولمبياد الخاص العماني السويق يحول خسارته ل تعادل مع صور ريس نادي الهلال الفريق عازم عل فتح صفح جديد وتعويض ما فاته روي يفرض التعادل عل النصر في الدقيق الاخير ف بطول الصداق الثالث بقطر من الدوري العماني لكر القدم فوز بهلا والسيب وصحار عل السويق والسلام وصحم تسديد برشلون وفالنسيا ل ربع النهاي,"'       :

احتفال رائع باليوم الرياضي للومبياد الخاص العماني السوق يحمل خسارته ل تعادل مع صور ريس ثادي

الجالب الفريق عام فتح صحح جديد وتتويض ما فاتة روي يفرض التعادل على النصر في الدقيق الأخير ف

بطول الصداقات الثالث بقطر من الدوري العماني لك القدم فوز بهلا والسبب وصارح على السوق والسلام

وصحم تسديد برشلونة فالنسيا ل ربع النهائي",احتفال راع باليوم الرياضي للولمبياد الخاص العماني السويق يحول خسارته ل تعادل مع صور ريس نادي الهلال الفريق عازم عل فتح صفح جديد وتعويض ما فاته روي يفرض التعادل عل النصر في الدقيق الاخير ف بطول الصداق الثالث بقطر من الدوري العماني لكر القدم فوز بهلا والسيب وصحار عل السويق والسلام وصحم تسديد برشلون وفالنسيا ل ربع النهاي,"'       :

احتفال رائع باليوم الرياضي للومبياد الخاص العماني السوق يحمل خسارته ل تعادل مع صور ريس ثادي

الجالب الفريق عام فتح صحح جديد وتتويض ما فاتة روي يفرض التعادل على النصر في الدقيق الأخير ف

بطول الصداقات الثالث بقطر من الدوري العماني لك القدم فوز بهلا والسبب وصارح على السوق والسلام

وصحم تسديد برشلونة فالنسيا ل ربع النهائي"
6,<PIL.Image.Image image mode=RGB size=691x168 at 0x7FDB20163210>,الثار الروحي والسلوكي لفريض الحج خطوات الحج شيخ الزهر لا خلاف بين السن والشيع تجديد الفقه السلامي ضرور لمساير قضايا العصر من وجوه العجاز القرني المقداد بن عمرو ونزلنا من السما ما طهورا علاق القواعد اللغوي بالقواعد الاصولي في بيان عن مجمع البحوث السلامي كيف تكتب بحثا في العلوم الشرعي والاخلاقي والتاريخي حذروا المهلكات فتاو وحكام,"        :

الروحاني والسلوكي لفريض الحج خطوات الحج شيخ الزندر لا خلاف بين السن والشيعي تجديد الفقه

السلامي ضروري لمساريا قضايا العصر من وجه العجار القريش المقداد بن عمرو وزندا من السما ما طهورا علاق

القواعد اللغوي بالقواعد الاصولى في بيان عن مجمع البحث السلامي كيف تكتب بحثا في العلم الشرعي

والاحلاقي والتاريخي حذروا المهنيات فتاوا وحكم",الثار الروحي والسلوكي لفريض الحج خطوات الحج شيخ الزهر لا خلاف بين السن والشيع تجديد الفقه السلامي ضرور لمساير قضايا العصر من وجوه العجاز القرني المقداد بن عمرو ونزلنا من السما ما طهورا علاق القواعد اللغوي بالقواعد الاصولي في بيان عن مجمع البحوث السلامي كيف تكتب بحثا في العلوم الشرعي والاخلاقي والتاريخي حذروا المهلكات فتاو وحكام,"        :

الروحاني والسلوكي لفريض الحج خطوات الحج شيخ الزندر لا خلاف بين السن والشيعي تجديد الفقه

السلامي ضروري لمساريا قضايا العصر من وجه العجار القريش المقداد بن عمرو وزندا من السما ما طهورا علاق

القواعد اللغوي بالقواعد الاصولى في بيان عن مجمع البحث السلامي كيف تكتب بحثا في العلم الشرعي

والاحلاقي والتاريخي حذروا المهنيات فتاوا وحكم"
7,<PIL.Image.Image image mode=RGB size=689x160 at 0x7FDB28AFB610>,السهر في الغني مفرد النس والاشتياق والتمني علان جاز سلطان بن علي العويس الثقافي للنجاز الثقافي والعلمي ايوب ملنج يعود من المشارك في سيمبوزم النحت الول بالبحرين العروض تتوال في احتفاي يام مجان السينماي سو عوام العرب ندو في دمشق حول رواي المقاوم هموم صغير جاز البداع العلامي الرياضي والثقاف السهر في الغني مفرد النس والاشتياق والتمني,"        :

السمر في الغني مفرد النس والاشتياق والتحمي علان حاز سلطان بن علي العيسى الثقافي للتجار التقافي
والعلمي اروب منج يعود من المشارك في سيمبوزم التحت المل بالبحرين العروض توال في اختفاي يام
مجان السينمائي سو عوم العرب ندو في دمشق حول رواي المقاهم هموم صغير حاز البداع العلمي الرياضي
والانتفاق السمر في الغني مفرد النس والاشتياق والتحمي",السهر في الغني مفرد النس والاشتياق والتمني علان جاز سلطان بن علي العويس الثقافي للنجاز الثقافي والعلمي ايوب ملنج يعود من المشارك في سيمبوزم النحت الول بالبحرين العروض تتوال في احتفاي يام مجان السينماي سو عوام العرب ندو في دمشق حول رواي المقاوم هموم صغير جاز البداع العلامي الرياضي والثقاف السهر في الغني مفرد النس والاشتياق والتمني,"        :

السمر في الغني مفرد النس والاشتياق والتحمي علان حاز سلطان بن علي العيسى الثقافي للتجار التقافي
والعلمي اروب منج يعود من المشارك في سيمبوزم التحت المل بالبحرين العروض توال في اختفاي يام
مجان السينمائي سو عوم العرب ندو في دمشق حول رواي المقاهم هموم صغير حاز البداع العلمي الرياضي
والانتفاق السمر في الغني مفرد النس والاشتياق والتحمي"
8,<PIL.Image.Image image mode=RGB size=689x160 at 0x7FDB28AFBD50>,القو العامل تصدر بطاق سجل قو عامل خلال السبوع الماضي العطي يبد زيار رسمي لنيودلهي وسلام باد الثلاثا المقبل بد حلق عمل التفكير الابتكار ف حل المشكلات واتخاذ القرارات لمسولي وزار القو العامل وفد تجاري صيني يزور السلطن ريس وبك وبوش يعربان عن قلقهما زا ارتفاع سعار النفط هموم اقتصادي مستثمرون خليجيون يزورون منطق الباطن والمنطق الصناعي بصحار,"        :

القوى العاملة تصدر بطاق سجل قو عامل خلال الأسبوع الماضي العطي يبد زرار رسمي لينجدلهي وسلام باد

اللائنا المقبل بد حلقى عمل التفكير الإبتكار ف حل المشكلات وإتخاذ القرارات لمسيوي وزار القو العامل وقد

تجاي صيفي يزور السلطان ريس وليك وينش يعران عن قلقهما نزا ارتفاع سعار النفط اقتصادي

مستثمرون خليجيون يزورون منطقة الباطن والمنطقة الصناعي بصحار",القو العامل تصدر بطاق سجل قو عامل خلال السبوع الماضي العطي يبد زيار رسمي لنيودلهي وسلام باد الثلاثا المقبل بد حلق عمل التفكير الابتكار ف حل المشكلات واتخاذ القرارات لمسولي وزار القو العامل وفد تجاري صيني يزور السلطن ريس وبك وبوش يعربان عن قلقهما زا ارتفاع سعار النفط هموم اقتصادي مستثمرون خليجيون يزورون منطق الباطن والمنطق الصناعي بصحار,"        :

القوى العاملة تصدر بطاق سجل قو عامل خلال الأسبوع الماضي العطي يبد زرار رسمي لينجدلهي وسلام باد

اللائنا المقبل بد حلقى عمل التفكير الإبتكار ف حل المشكلات وإتخاذ القرارات لمسيوي وزار القو العامل وقد

تجاي صيفي يزور السلطان ريس وليك وينش يعران عن قلقهما نزا ارتفاع سعار النفط اقتصادي

مستثمرون خليجيون يزورون منطقة الباطن والمنطقة الصناعي بصحار"
9,<PIL.Image.Image image mode=RGB size=689x162 at 0x7FDB201DBE90>,انطلاق الاجتماع التاسع عشر للجن الثقافي بمجلس التعاون بالرياض قبل رحيله محمد شاهين ل الوطن اليمن تشارك في مهرجان البادي في المارات حرب الجزار في شقيها الرسمي وغير الرسمي من خلال معرض للصور في باريس زدواجي النا الخر في فن الممثل قص قصير حبر عل ورق مقاربات اليوم وبمشارك السلطن انطلاق الاجتماع التاسع عشر للجن الثقافي بمجلس التعاون بالرياض,"""انطلاق الاجتماع التاسع عشر للجنة الثقافي بمجلس التعاون بالرياض قبل جهله محمد شاهدين ل الوطن اليمن تشارك في مهرجان البادي في الدارات حرب الجزائر في شقيقها الرسمي وغير الرسمي من خلال معرض للصور في باريس زواجي النا آخر في الممثل قصيرة جبر على ورق مقابات اليم ويشترك السلطان انطلاق الاجتماع التاسع عشر للجنة الثقافي بمجلس التعاون بالرياض""",انطلاق الاجتماع التاسع عشر للجن الثقافي بمجلس التعاون بالرياض قبل رحيله محمد شاهين ل الوطن اليمن تشارك في مهرجان البادي في المارات حرب الجزار في شقيها الرسمي وغير الرسمي من خلال معرض للصور في باريس زدواجي النا الخر في فن الممثل قص قصير حبر عل ورق مقاربات اليوم وبمشارك السلطن انطلاق الاجتماع التاسع عشر للجن الثقافي بمجلس التعاون بالرياض,"""انطلاق الاجتماع التاسع عشر للجنة الثقافي بمجلس التعاون بالرياض قبل جهله محمد شاهدين ل الوطن اليمن تشارك في مهرجان البادي في الدارات حرب الجزائر في شقيقها الرسمي وغير الرسمي من خلال معرض للصور في باريس زواجي النا آخر في الممثل قصيرة جبر على ورق مقابات اليم ويشترك السلطان انطلاق الاجتماع التاسع عشر للجنة الثقافي بمجلس التعاون بالرياض"""
