,image,ground_truth,trocr,qwenv2.5_3B,qwenv2.5_7B,smolvlm2,siglib2
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2142x141 at 0x793B441C58D0>,وصفاً مجملاً لحالة المغرب خلال سنة 2005، مثيراً ، في سياق ذلك ، التساؤلات الكبرى,,"""ومن (1) حاول أن تحل (2) معروفة [ ]، فنُصّر أريدك معي رداً.""",,,
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2159x228 at 0x793B441D2010>,وهلال خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي,,محلل (أ) : نصيحة المجمع. يُذكر أنَّ نَصيحة المجمع تُستَخدَم في كلِّ الأحوال.,,,
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1508x404 at 0x793B441EC350>,النص: مشمش ، دراق ، غيظ ، ناء ،  بث ، نسر .,,النحى: مشقش، دراق، عينم، ناء، بث، نسر,,,
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1236x103 at 0x793B441EC910>,و هي التي جعلته كريما على فقره .,,"""وَأَنَا لَمْ أَكُنْ مِنَ الْخَالِقِينَ""",,,
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1873x110 at 0x793B441ECE90>,مثل أنقض بغـلس له الضابط لزمتك. سألت راجح هل أبلغ أصحابنا,,"""أنتَ تعلم أنه الطيب لا يفنى، سلامت راح ها أين؟""",,,
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2065x191 at 0x793B441ED490>,الأدب عامة ، و الأدب السعبي خاصة ، لمزيد من التقصي و البحث و التحليل ،,,"""لقد رأيت فيلمه، رأى رؤيتي، استيقظت حزناً، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُزنٌ، وحُ",,,
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2177x189 at 0x793B441EDA50>,عفيف للحج .  بدأن قوافل الحجح حاج إن افر يلبي . عند وصولنا طفنا وسعينا هع شنح.,,"Here is the text from the image:

صحيح لجميع الأعداد الصحيحة، وعندما تأخذنا القيمة 1/2، نجد أن:",,,
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2039x124 at 0x793B441EE010>, هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء,,"```
2^340 (1) ∂t ∂φ + ∂v ∂φ = 0, i.e. v (C) = b (i.e. v' = 0)
```",,,
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=907x578 at 0x793B441EE5D0>,غيظ ، ناء ، بث ، نسر .,,غَيْظٌ، نَاءٌ، بَتٌ، نَسْرٌ.,,,
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1998x118 at 0x793B441EEB10>,والصراع  الحضاري قد  يأخذ  أشكالا  مادية - الصراع  على الوصول .,,"The text in the image appears to be in Arabic script and reads:

""العربية""",,,
